Country,Year,Annual_dengue_total
Bhutan,2002,0.0
Bhutan,2003,0.0
Bhutan,2004,2579.0
Bhutan,2005,19.0
Bhutan,2006,480.0
Bhutan,2007,86.0
Bhutan,2008,73.0
Bhutan,2009,351.0
Bhutan,2010,874.0
Bhutan,2011,712.0
Bhutan,2012,1101.0
Bhutan,2013,111.0
Bhutan,2014,0.0
Bhutan,2015,0.0
Bhutan,2016,550.0
Bhutan,2017,87.0
Bhutan,2018,28.0
Bhutan,2019,5480.0
Bhutan,2020,16.0
Bhutan,2021,5.0
Bolivia,2000,118.0
Bolivia,2001,340.0
Bolivia,2002,892.0
Bolivia,2003,6548.0
Bolivia,2004,7390.0
Bolivia,2005,4292.0
Bolivia,2006,2040.0
Bolivia,2007,7332.0
Bolivia,2008,3181.0
Bolivia,2009,84047.0
Bolivia,2010,5191.0
Bolivia,2011,26681.0
Bolivia,2012,42704.0
Bolivia,2013,13266.0
Bolivia,2014,22409.0
Bolivia,2015,27099.0
Bolivia,2016,34786.0
Bolivia,2017,19990.0
Bolivia,2018,15320.0
Bolivia,2019,21567.0
Bolivia,2020,109498.0
Bolivia,2021,8947.0
Bolivia,2022,17036.0
"Bonaire, Saint Eustatius And Saba",2013,444.0
"Bonaire, Saint Eustatius And Saba",2017,0.0
"Bonaire, Saint Eustatius And Saba",2018,0.0
"Bonaire, Saint Eustatius And Saba",2019,0.0
"Bonaire, Saint Eustatius And Saba",2020,0.0
Brazil,2000,239929.0
Brazil,2001,413067.0
Brazil,2002,780644.0
Brazil,2003,341902.0
Brazil,2004,112928.0
Brazil,2005,203789.0
Brazil,2006,346550.0
Brazil,2007,559954.0
Brazil,2008,561659.0
Brazil,2009,528883.0
Brazil,2010,1004392.0
Brazil,2011,764032.0
Brazil,2012,581840.0
Brazil,2013,1478215.0
Brazil,2014,586774.0
Brazil,2015,1695323.0
Brazil,2016,2220482.0
Brazil,2017,512827.0
Brazil,2018,470269.0
Brazil,2019,2253883.0
Brazil,2020,1446298.0
Brazil,2021,975474.0
Brazil,2022,2226895.0
Brunei Darussalam,2000,0.0
Brunei Darussalam,2001,0.0
Brunei Darussalam,2002,26.0
Brunei Darussalam,2003,160.0
Brunei Darussalam,2004,36.0
Brunei Darussalam,2005,68.0
Brunei Darussalam,2006,68.0
Brunei Darussalam,2007,18.0
Brunei Darussalam,2008,32.0
Brunei Darussalam,2009,33.0
Brunei Darussalam,2010,299.0
Brunei Darussalam,2011,25.0
Brunei Darussalam,2012,290.0
Brunei Darussalam,2013,2434.0
Brunei Darussalam,2014,872.0
Brunei Darussalam,2015,317.0
Brunei Darussalam,2016,84.0
Brunei Darussalam,2017,75.0
Cambodia,2000,3148.0
Cambodia,2001,10569.0
Cambodia,2002,12471.0
Cambodia,2003,12081.0
Cambodia,2004,10049.0
Cambodia,2005,9042.0
Cambodia,2006,16669.0
Cambodia,2007,39851.0
Cambodia,2008,9823.0
Cambodia,2009,11699.0
Cambodia,2010,12500.0
Cambodia,2011,31337.0
Cambodia,2012,42352.0
Cambodia,2013,34835.0
Cambodia,2014,7401.0
Cambodia,2015,30466.0
Cambodia,2016,14689.0
Cambodia,2017,9698.0
Cambodia,2018,34871.0
Cambodia,2019,136871.0
Cambodia,2020,11792.0
Cambodia,2021,1903.0
Cambodia,2022,12581.0
Cayman Islands,2000,0.0
Cayman Islands,2001,0.0
Cayman Islands,2002,1.0
Cayman Islands,2003,1.0
Cayman Islands,2004,0.0
Cayman Islands,2005,1.0
Cayman Islands,2006,0.0
Cayman Islands,2007,9.0
Cayman Islands,2008,1.0
Cayman Islands,2009,0.0
Cayman Islands,2010,8.0
Cayman Islands,2011,2.0
Cayman Islands,2012,53.0
Cayman Islands,2013,69.0
Cayman Islands,2015,2.0
Cayman Islands,2016,0.0
Cayman Islands,2017,0.0
Cayman Islands,2019,28.0
Cayman Islands,2020,32.0
Cayman Islands,2021,0.0
Cayman Islands,2022,0.0
Chile,2002,636.0
Chile,2003,0.0
Chile,2004,0.0
Chile,2005,0.0
Chile,2006,0.0
Chile,2007,0.0
Chile,2008,0.0
Chile,2009,27.0
Chile,2010,0.0
Chile,2011,1.0
Chile,2012,32.0
Chile,2013,44.0
Chile,2015,6.0
Chile,2017,0.0
Chile,2018,18.0
Chile,2019,29.0
Chile,2020,9.0
Chile,2021,0.0
Chile,2022,0.0
China,2000,806.0
China,2001,740.0
China,2002,2719.0
China,2003,93.0
China,2004,247.0
China,2005,40.0
China,2006,1315.0
China,2007,539.0
China,2008,365.0
China,2009,562.0
China,2010,223.0
China,2011,107.0
China,2012,157.0
China,2013,9940.0
China,2014,94376.0
China,2015,7086.0
China,2016,3958.0
China,2017,11523.0
China,2018,10172.0
China,2019,44505.0
China,2020,558.0
China,2021,0.0
China,2022,487.0
Colombia,2002,382.0
Colombia,2004,1614.0
Colombia,2005,1938.0
Colombia,2006,5585.0
Colombia,2007,44624.0
Colombia,2008,35784.0
Colombia,2009,51946.0
Colombia,2010,160265.0
Colombia,2011,31133.0
Colombia,2012,56627.0
Colombia,2013,125367.0
Colombia,2014,104877.0
Colombia,2015,95841.0
Colombia,2016,99977.0
Colombia,2017,25503.0
Colombia,2018,44706.0
Colombia,2019,125670.0
Colombia,2020,73981.0
Colombia,2021,50106.0
Colombia,2022,66758.0
Cook Islands,2000,0.0
Cook Islands,2001,21.0
Cook Islands,2002,2256.0
Cook Islands,2003,1.0
Cook Islands,2004,4.0
Cook Islands,2005,0.0
Cook Islands,2006,468.0
Cook Islands,2007,1224.0
Cook Islands,2008,11.0
Cook Islands,2009,170.0
Cook Islands,2010,0.0
Cook Islands,2014,946.0
Cook Islands,2016,0.0
Cook Islands,2017,1.0
Cook Islands,2018,3.0
Cook Islands,2019,260.0
Cook Islands,2020,259.0
Cook Islands,2021,2.0
Cook Islands,2022,3.0
Costa Rica,2000,4907.0
Costa Rica,2001,9237.0
Costa Rica,2002,12251.0
Costa Rica,2003,19669.0
Costa Rica,2004,9408.0
Costa Rica,2005,37798.0
Costa Rica,2006,12124.0
Costa Rica,2007,26440.0
Costa Rica,2008,7160.0
Costa Rica,2009,6946.0
Costa Rica,2010,31773.0
Costa Rica,2011,13854.0
Costa Rica,2012,19880.0
Costa Rica,2013,50232.0
Costa Rica,2014,10901.0
Costa Rica,2015,17394.0
Costa Rica,2016,23319.0
Costa Rica,2017,8918.0
Costa Rica,2018,2718.0
Costa Rica,2019,9472.0
Costa Rica,2020,9955.0
Costa Rica,2021,5174.0
Costa Rica,2022,7110.0
Cuba,2000,138.0
Cuba,2001,11432.0
Cuba,2002,3011.0
Cuba,2003,0.0
Cuba,2004,0.0
Cuba,2005,75.0
Cuba,2007,28.0
Cuba,2009,70.0
Cuba,2010,0.0
Cuba,2011,0.0
Cuba,2012,0.0
Cuba,2013,0.0
Cuba,2015,50.0
Cuba,2016,0.0
Cuba,2020,1.0
Cuba,2022,0.0
Curacao,2013,568.0
Curacao,2014,0.0
Curacao,2015,0.0
Curacao,2016,0.0
Curacao,2017,0.0
Curacao,2018,0.0
Curacao,2019,0.0
Curacao,2020,0.0
Dominica,2000,15.0
Dominica,2001,5.0
Dominica,2002,0.0
Dominica,2003,0.0
Dominica,2004,4.0
Dominica,2005,11.0
Dominica,2006,19.0
Dominica,2007,111.0
Dominica,2008,80.0
Dominica,2009,2.0
Dominica,2010,635.0
Dominica,2011,40.0
Dominica,2012,3.0
Dominica,2013,197.0
Dominica,2015,0.0
Dominica,2016,70.0
Dominica,2017,0.0
Dominica,2018,0.0
Dominica,2019,46.0
Dominica,2020,1.0
Dominica,2021,0.0
Dominica,2022,1.0
Dominican Republic,2000,3462.0
Dominican Republic,2001,3596.0
Dominican Republic,2002,3194.0
Dominican Republic,2003,6163.0
Dominican Republic,2004,2476.0
Dominican Republic,2005,2860.0
Dominican Republic,2006,6143.0
Dominican Republic,2007,9628.0
Dominican Republic,2008,4333.0
Dominican Republic,2009,8292.0
Dominican Republic,2010,11519.0
Dominican Republic,2011,2339.0
Dominican Republic,2012,9505.0
Dominican Republic,2013,16709.0
Dominican Republic,2014,6068.0
Dominican Republic,2015,17048.0
Dominican Republic,2016,6645.0
Dominican Republic,2017,1367.0
Dominican Republic,2018,1602.0
Dominican Republic,2019,20323.0
Dominican Republic,2020,3776.0
Dominican Republic,2021,3746.0
Dominican Republic,2022,9626.0
Ecuador,2000,22937.0
Ecuador,2001,10919.0
Ecuador,2002,5833.0
Ecuador,2003,10319.0
Ecuador,2004,6165.0
Ecuador,2005,12131.0
Ecuador,2006,6044.0
Ecuador,2007,105887.0
Ecuador,2008,1894.0
Ecuador,2009,4489.0
Ecuador,2010,1042.0
Ecuador,2011,7659.0
Ecuador,2012,16544.0
Ecuador,2013,11733.0
Ecuador,2014,15460.0
Ecuador,2015,42473.0
Ecuador,2016,14159.0
Ecuador,2017,11331.0
Ecuador,2018,3140.0
Ecuador,2019,8480.0
Ecuador,2020,19803.0
Ecuador,2021,20829.0
Ecuador,2022,15760.0
El Salvador,2000,3248.0
El Salvador,2001,1176.0
El Salvador,2002,18307.0
El Salvador,2003,7436.0
El Salvador,2004,13344.0
El Salvador,2005,15290.0
El Salvador,2006,22088.0
El Salvador,2007,12476.0
El Salvador,2008,5774.0
El Salvador,2009,15040.0
El Salvador,2010,22406.0
El Salvador,2011,20836.0
El Salvador,2012,43861.0
El Salvador,2013,29141.0
El Salvador,2014,53196.0
El Salvador,2015,49892.0
El Salvador,2016,8789.0
El Salvador,2017,4402.0
El Salvador,2018,8333.0
El Salvador,2019,27362.0
El Salvador,2020,5334.0
El Salvador,2021,5633.0
El Salvador,2022,15339.0
Fiji,2000,14.0
Fiji,2001,3.0
Fiji,2002,0.0
Fiji,2003,16.0
Fiji,2004,2.0
Fiji,2005,0.0
Fiji,2006,25.0
Fiji,2007,100.0
Fiji,2008,1895.0
Fiji,2009,374.0
Fiji,2010,8.0
Fiji,2012,618.0
Fiji,2013,704.0
Fiji,2016,398.0
Fiji,2017,5847.0
Fiji,2018,9389.0
Fiji,2019,5360.0
Fiji,2020,1817.0
Fiji,2021,929.0
Fiji,2022,8674.0
French Guiana,2000,186.0
French Guiana,2001,2830.0
French Guiana,2002,280.0
French Guiana,2003,2178.0
French Guiana,2004,3147.0
French Guiana,2005,4365.0
French Guiana,2006,15930.0
French Guiana,2007,661.0
French Guiana,2008,460.0
French Guiana,2009,11330.0
French Guiana,2010,4350.0
French Guiana,2011,667.0
French Guiana,2012,662.0
French Guiana,2013,16263.0
French Guiana,2014,0.0
French Guiana,2015,451.0
French Guiana,2016,15.0
French Guiana,2017,0.0
French Guiana,2018,0.0
French Guiana,2019,275.0
French Guiana,2020,8734.0
French Guiana,2021,1756.0
French Polynesia,2000,36.0
French Polynesia,2001,32800.0
French Polynesia,2002,230.0
French Polynesia,2003,47.0
French Polynesia,2004,59.0
French Polynesia,2005,50.0
French Polynesia,2006,818.0
French Polynesia,2007,1897.0
French Polynesia,2008,176.0
French Polynesia,2009,2479.0
French Polynesia,2010,250.0
French Polynesia,2013,1569.0
French Polynesia,2014,4228.0
French Polynesia,2015,1012.0
French Polynesia,2017,7.0
French Polynesia,2018,270.0
French Polynesia,2019,3130.0
French Polynesia,2020,242.0
French Polynesia,2022,198.0
Grenada,2000,27.0
Grenada,2001,12.0
Grenada,2002,84.0
Grenada,2003,17.0
Grenada,2004,7.0
Grenada,2005,0.0
Grenada,2006,22.0
Grenada,2007,0.0
Grenada,2008,6.0
Grenada,2009,23.0
Grenada,2010,378.0
Grenada,2011,212.0
Grenada,2012,162.0
Grenada,2013,383.0
Grenada,2014,92.0
Grenada,2015,7.0
Grenada,2016,72.0
Grenada,2017,186.0
Grenada,2018,404.0
Grenada,2019,109.0
Grenada,2020,259.0
Grenada,2021,0.0
Grenada,2022,66.0
Guadeloupe,2000,60.0
Guadeloupe,2001,0.0
Guadeloupe,2002,93.0
Guadeloupe,2003,495.0
Guadeloupe,2004,0.0
Guadeloupe,2005,3364.0
Guadeloupe,2006,2948.0
Guadeloupe,2007,3266.0
Guadeloupe,2008,277.0
Guadeloupe,2009,2234.0
Guadeloupe,2010,41100.0
Guadeloupe,2011,101.0
Guadeloupe,2012,1032.0
Guadeloupe,2013,12706.0
Guadeloupe,2014,0.0
Guadeloupe,2015,35.0
Guadeloupe,2016,9.0
Guadeloupe,2017,15.0
Guadeloupe,2018,357.0
Guadeloupe,2019,1240.0
Guadeloupe,2020,19147.0
Guadeloupe,2021,540.0
Guadeloupe,2022,71.0
Guam,2000,2.0
Guam,2001,0.0
Guam,2002,0.0
Guam,2003,1.0
Guam,2004,1.0
Guam,2005,0.0
Guam,2006,3.0
Guam,2007,1.0
Guam,2009,0.0
Guam,2010,3.0
Guam,2017,0.0
Guam,2018,0.0
Guam,2019,23.0
Guam,2022,119.0
Guatemala,2000,9006.0
Guatemala,2001,4516.0
Guatemala,2002,7599.0
Guatemala,2003,6750.0
Guatemala,2004,6352.0
Guatemala,2005,6341.0
Guatemala,2006,2428.0
Guatemala,2007,5886.0
Guatemala,2008,3230.0
Guatemala,2009,10438.0
Guatemala,2010,17045.0
Guatemala,2011,2565.0
Guatemala,2012,9252.0
Guatemala,2013,11736.0
Guatemala,2014,19764.0
Guatemala,2015,11516.0
Guatemala,2016,8243.0
Guatemala,2017,4214.0
Guatemala,2018,7592.0
Guatemala,2019,50886.0
Guatemala,2020,5983.0
Guatemala,2021,2861.0
Guatemala,2022,8407.0
Guyana,2000,19.0
Guyana,2001,60.0
Guyana,2002,202.0
Guyana,2003,33.0
Guyana,2004,47.0
Guyana,2005,178.0
Guyana,2006,118.0
Guyana,2007,201.0
Guyana,2008,324.0
Guyana,2009,994.0
Guyana,2010,1468.0
Guyana,2011,1093.0
Guyana,2012,2189.0
Guyana,2013,1120.0
Guyana,2014,0.0
Guyana,2015,15.0
Guyana,2016,1.0
Guyana,2017,0.0
Guyana,2018,1.0
Guyana,2019,0.0
Guyana,2021,36.0
Haiti,2000,13642.0
Haiti,2009,0.0
Haiti,2010,0.0
Haiti,2011,0.0
Haiti,2012,240.0
Haiti,2013,0.0
Haiti,2017,1.0
Haiti,2018,90.0
Haiti,2019,92.0
Haiti,2020,1783.0
Haiti,2021,32.0
Haiti,2022,0.0
Honduras,2000,13642.0
Honduras,2001,19077.0
Honduras,2002,322269.0
Honduras,2003,16599.0
Honduras,2004,19971.0
Honduras,2005,18843.0
Honduras,2006,8436.0
Honduras,2007,33508.0
Honduras,2008,18941.0
Honduras,2009,15291.0
Honduras,2010,66814.0
Honduras,2011,8297.0
Honduras,2012,15554.0
Honduras,2013,39360.0
Honduras,2014,42594.0
Honduras,2015,44834.0
Honduras,2016,18450.0
Honduras,2017,5226.0
Honduras,2018,8187.0
Honduras,2019,132905.0
Honduras,2020,24132.0
Honduras,2021,19753.0
Honduras,2022,19046.0
Hong Kong,2000,0.0
Hong Kong,2001,0.0
Hong Kong,2002,64.0
Hong Kong,2003,49.0
Hong Kong,2004,31.0
Hong Kong,2005,31.0
Hong Kong,2006,31.0
Hong Kong,2007,58.0
Hong Kong,2008,42.0
Hong Kong,2009,43.0
Hong Kong,2010,87.0
Hong Kong,2011,30.0
Hong Kong,2012,0.0
Hong Kong,2013,103.0
Hong Kong,2014,115.0
Hong Kong,2015,117.0
Hong Kong,2016,128.0
Hong Kong,2017,103.0
Hong Kong,2018,192.0
Hong Kong,2019,199.0
Hong Kong,2020,1.0
Hong Kong,2021,0.0
Hong Kong,2022,0.0
India,2000,650.0
India,2001,3306.0
India,2002,1926.0
India,2003,12754.0
India,2004,4153.0
India,2005,11985.0
India,2006,12317.0
India,2007,5530.0
India,2008,12540.0
India,2009,15535.0
India,2010,1252.0
India,2011,18860.0
India,2012,37070.0
India,2015,99913.0
India,2016,129166.0
India,2017,188401.0
India,2018,101192.0
India,2019,157315.0
India,2020,44585.0
India,2021,193245.0
India,2022,233251.0
Indonesia,2000,33443.0
Indonesia,2001,45904.0
Indonesia,2002,40377.0
Indonesia,2003,51934.0
Indonesia,2004,148567.0
Indonesia,2005,157416.0
Indonesia,2006,106425.0
Indonesia,2007,157442.0
Indonesia,2008,155607.0
Indonesia,2009,156052.0
Indonesia,2010,127619.0
Indonesia,2011,65725.0
Indonesia,2012,90245.0
Indonesia,2013,112511.0
Indonesia,2014,100347.0
Indonesia,2015,129650.0
Indonesia,2016,204171.0
Indonesia,2017,68407.0
Indonesia,2019,138127.0
Indonesia,2020,108303.0
Indonesia,2021,73518.0
Jamaica,2000,25.0
Jamaica,2001,39.0
Jamaica,2002,90.0
Jamaica,2003,52.0
Jamaica,2004,9.0
Jamaica,2005,46.0
Jamaica,2006,79.0
Jamaica,2007,1448.0
Jamaica,2008,359.0
Jamaica,2009,70.0
Jamaica,2010,2827.0
Jamaica,2011,408.0
Jamaica,2012,4670.0
Jamaica,2013,863.0
Jamaica,2014,878.0
Jamaica,2015,29.0
Jamaica,2016,1652.0
Jamaica,2017,219.0
Jamaica,2018,1034.0
Jamaica,2019,7382.0
Jamaica,2020,853.0
Jamaica,2021,76.0
Jamaica,2022,80.0
Japan,2000,18.0
Japan,2001,50.0
Japan,2002,52.0
Japan,2003,32.0
Japan,2004,49.0
Japan,2005,74.0
Japan,2006,58.0
Japan,2007,89.0
Japan,2008,101.0
Japan,2009,92.0
Japan,2010,145.0
Japan,2013,249.0
Japan,2014,341.0
Japan,2015,293.0
Japan,2016,338.0
Japan,2017,245.0
Japan,2018,201.0
Japan,2019,463.0
Kiribati,2000,0.0
Kiribati,2001,0.0
Kiribati,2002,483.0
Kiribati,2003,1660.0
Kiribati,2004,0.0
Kiribati,2005,0.0
Kiribati,2006,0.0
Kiribati,2007,0.0
Kiribati,2008,831.0
Kiribati,2009,7.0
Kiribati,2010,20.0
Kiribati,2011,4.0
Kiribati,2016,0.0
Kiribati,2017,40.0
Kiribati,2018,3392.0
Kiribati,2019,2.0
Kiribati,2020,0.0
Kiribati,2021,2.0
Kiribati,2022,2662.0
Lao People'S Democratic Republic,2000,1377.0
Lao People'S Democratic Republic,2001,3968.0
Lao People'S Democratic Republic,2002,9176.0
Lao People'S Democratic Republic,2003,17690.0
Lao People'S Democratic Republic,2004,3972.0
Lao People'S Democratic Republic,2005,6152.0
Lao People'S Democratic Republic,2006,7114.0
Lao People'S Democratic Republic,2007,5391.0
Lao People'S Democratic Republic,2008,4487.0
Lao People'S Democratic Republic,2009,7804.0
Lao People'S Democratic Republic,2010,22929.0
Lao People'S Democratic Republic,2011,3816.0
Lao People'S Democratic Republic,2012,10146.0
Lao People'S Democratic Republic,2013,50475.0
Lao People'S Democratic Republic,2014,3638.0
Lao People'S Democratic Republic,2015,3745.0
Lao People'S Democratic Republic,2016,11254.0
Lao People'S Democratic Republic,2017,22099.0
Lao People'S Democratic Republic,2018,12764.0
Lao People'S Democratic Republic,2019,77986.0
Lao People'S Democratic Republic,2020,7692.0
Lao People'S Democratic Republic,2021,1340.0
Lao People'S Democratic Republic,2022,29014.0
Macau,2000,0.0
Macau,2001,1418.0
Macau,2002,2.0
Macau,2003,28.0
Macau,2004,2.0
Macau,2005,0.0
Macau,2006,6.0
Macau,2007,14.0
Macau,2008,3.0
Macau,2010,6.0
Macau,2013,9.0
Macau,2014,17.0
Macau,2015,3.0
Macau,2016,11.0
Macau,2017,17.0
Macau,2018,18.0
Malaysia,2000,8805.0
Malaysia,2001,16368.0
Malaysia,2002,32767.0
Malaysia,2003,31545.0
Malaysia,2004,33895.0
Malaysia,2005,39686.0
Malaysia,2006,38556.0
Malaysia,2007,48846.0
Malaysia,2008,49335.0
Malaysia,2009,73770.0
Malaysia,2010,88584.0
Malaysia,2011,39924.0
Malaysia,2012,23088.0
Malaysia,2013,87208.0
Malaysia,2014,214191.0
Malaysia,2015,242455.0
Malaysia,2016,209958.0
Malaysia,2017,176568.0
Malaysia,2018,165011.0
Malaysia,2019,260383.0
Malaysia,2020,87171.0
Malaysia,2021,26978.0
Malaysia,2022,65732.0
Maldives,2000,180.0
Maldives,2001,73.0
Maldives,2002,27.0
Maldives,2003,38.0
Maldives,2004,742.0
Maldives,2005,1126.0
Maldives,2006,5545.0
Maldives,2007,3351.0
Maldives,2008,3300.0
Maldives,2009,1619.0
Maldives,2010,1000.0
Maldives,2011,2909.0
Maldives,2012,1083.0
Maldives,2013,725.0
Maldives,2014,824.0
Maldives,2015,1890.0
Maldives,2016,1962.0
Maldives,2017,851.0
Maldives,2018,1838.0
Maldives,2019,2156.0
Maldives,2020,328.0
Marshall Islands,2000,0.0
Marshall Islands,2001,0.0
Marshall Islands,2002,0.0
Marshall Islands,2003,0.0
Marshall Islands,2004,0.0
Marshall Islands,2005,0.0
Marshall Islands,2006,0.0
Marshall Islands,2007,0.0
Marshall Islands,2009,0.0
Marshall Islands,2010,0.0
Marshall Islands,2017,0.0
Marshall Islands,2018,0.0
Marshall Islands,2019,2368.0
Marshall Islands,2020,990.0
Marshall Islands,2021,0.0
Marshall Islands,2022,510.0
Martinique,2000,171.0
Martinique,2001,4471.0
Martinique,2002,392.0
Martinique,2003,791.0
Martinique,2004,0.0
Martinique,2005,6083.0
Martinique,2006,4086.0
Martinique,2007,5082.0
Martinique,2008,586.0
Martinique,2009,1378.0
Martinique,2010,37100.0
Martinique,2011,275.0
Martinique,2012,1269.0
Martinique,2013,7040.0
Martinique,2014,0.0
Martinique,2015,30.0
Martinique,2016,16.0
Martinique,2017,111.0
Martinique,2018,73.0
Martinique,2019,480.0
